stop_name,nb_metro,nb_rer,line,Name
VILLEJUIF-LEO LAGRANGE,1,0,,villejuifleolagrange
BONNE NOUVELLE,2,0,9,bonnenouvelle
BONNE NOUVELLE,2,0,8,bonnenouvelle
FAIDHERBE-CHALIGNY,1,0,8,faidherbechaligny
MAISONS-ALFORT-LES JUILLIOTTES,1,0,8,maisonsalfortlesjuilliottes
BILLANCOURT,1,0,9,billancourt
EXELMANS,1,0,9,exelmans
GUILLERVAL,0,0,,guillerval
BREUILLET-VILLAGE,0,1,,breuilletvillage
SERMAISE,0,1,,sermaise
EVRY-COURCOURONNES,0,1,,evrycourcouronnes
MOULIN-GALANT,0,1,,moulingalant
LE COUDRAY-MONTCEAUX,0,1,,lecoudraymontceaux
BOUTIGNY-SUR-ESSONNE,0,1,,boutignysuressonne
MAISSE,0,1,,maisse
LE PERRAY,0,0,,leperray
SAINT-REMY-LES-CHEVREUSE,0,1,,saintremyleschevreuse
TACOIGNIERES-RICHEBOURG,0,0,,tacoignieresrichebourg
BREVAL,0,0,,breval
ISSOU-PORCHEVILLE,0,0,,issouporcheville
VAUX-SUR-SEINE,0,0,,vauxsurseine
CHANTELOUP-LES-VIGNES,0,0,,chantelouplesvignes
ANDRESY,0,0,,andresy
EPLUCHES,0,0,,epluches
CHAVILLE-VELIZY,0,0,,chavillevelizy
FONTENAY-LE-FLEURY,0,0,,fontenaylefleury
VILLIERS-NEAUPHLE PONTCHARTRAIN,0,0,,villiersneauphlepontchartrain
MONTFORT-L'AMAURY-MERE,0,0,,montfortlamaurymere
BEYNES,0,0,,beynes
NEZEL-AULNAY,0,0,,nezelaulnay
MORMANT,0,0,,mormant
HERICY,0,0,,hericy
MONTIGNY-SUR-LOING,0,0,,montignysurloing
CONFLANS-SAINTE-HONORINE,0,0,,conflanssaintehonorine
LES CLAIRIERES-DE-VERNEUIL,0,0,,lesclairieresdeverneuil
VILLENNES-SUR-SEINE,0,0,,villennessurseine
L'ETANG-LA-VILLE,0,0,,letanglaville
LOUVECIENNES,0,0,,louveciennes
SAVIGNY-SUR-ORGE,0,1,,savignysurorge
BIEVRES,0,1,,bievres
GIF-SUR-YVETTE,0,1,B,gifsuryvette
BURES-SUR-YVETTE,0,1,B,buressuryvette
BRETIGNY,0,1,,bretigny
CHAMARANDE,0,1,,chamarande
ETAMPES,0,1,,etampes
LA VARENNE-CHENNEVIERES,0,1,,lavarennechennevieres
LES SAULES,0,1,,lessaules
PONT DE RUNGIS,0,1,,pontderungis
NEUILLY-PLAISANCE,0,1,A,neuillyplaisance
ROSNY-SOUS-BOIS,0,1,,rosnysousbois
LA PLAINE-STADE DE FRANCE,0,1,B,laplainestadedefrance
DRANCY,0,1,B,drancy
BLANC-MESNIL,0,1,B,blancmesnil
PARC DES EXPOSITIONS,0,1,B,parcdesexpositions
VILLENEUVE-SAINT-GEORGES,0,1,,villeneuvesaintgeorges
VILLENEUVE-TRIAGE,0,1,,villeneuvetriage
PORT ROYAL,0,1,B,portroyal
CROUY-SUR-OURCQ,0,0,,crouysurourcq
SAINTE-COLOMBE-SEPTVEILLES,0,0,,saintecolombeseptveilles
AEROPORT ORLY 1-2-3,0,0,,aeroportorly123
MAREIL-MARLY,0,0,,mareilmarly
SAINT-GERMAIN-GRANDE-CEINTURE,0,0,,saintgermaingrandeceinture
BEAUVAIS,0,0,,beauvais
GILLES-GUAINVILLE,0,0,,gillesguainville
VERNON,0,0,,vernon
VILLENEUVE-LA-GUYARD,0,0,,villeneuvelaguyard
CEZY,0,0,,cezy
MONTSOULT-MAFFLIERS,0,0,,montsoultmaffliers
GOUSSAINVILLE,0,1,,goussainville
LOUVRES,0,1,,louvres
CHAMPAGNE-SUR-OISE,0,0,,champagnesuroise
MERIEL,0,0,,meriel
AUVERS-SUR-OISE,0,0,,auverssuroise
MONTGEROULT-COURCELLES,0,0,,montgeroultcourcelles
SANTEUIL-LE-PERCHAY,0,0,,santeuilleperchay
CHARS,0,0,,chars
CHAVILLE RIVE GAUCHE,0,0,,chavillerivegauche
ROBINSON,0,1,B,robinson
SCEAUX,0,1,B,sceaux
LA CROIX-DE-BERNY-FRESNES,0,1,,lacroixdebernyfresnes
CHEMIN D'ANTONY,0,1,,chemindantony
GENTILLY,0,1,B,gentilly
LAPLACE,0,1,B,laplace
MUSEE D'ORSAY,0,1,,museedorsay
ISSY,0,1,,issy
PONT-CARDINET,0,0,,pontcardinet
AVENUE FOCH,0,1,,avenuefoch
VINCENNES,0,1,A,vincennes
PORTE DE RUNGIS,0,0,,portederungis
CAROLINE AIGLE,0,0,,carolineaigle
PORTE DE L'ESSONNE,0,0,,portedelessonne
LAMARTINE,0,0,,lamartine
LA BELLE EPINE,0,0,,labelleepine
PLACE DE LA LOGISTIQUE,0,0,,placedelalogistique
CHAUMONT-EN-VEXIN,0,0,,chaumontenvexin
FERTE-MILON,0,0,,fertemilon
PARC DES CHANTERAINES,0,0,,parcdeschanteraines
GILBERT BONNEMAISON,0,0,,gilbertbonnemaison
PIERRE DE GEYTER,0,0,,pierredegeyter
MEUDON-LA-FORET,0,0,,meudonlaforet
DEWOITINE,0,0,,dewoitine
ROBERT WAGNER,0,0,,robertwagner
TIMBAUD,0,0,,timbaud
LE VILLAGE,0,0,,levillage
LE LUTH,0,0,,leluth
CHARLEBOURG,0,0,,charlebourg
ALEXANDRA DAVID-NEEL,0,0,,alexandradavidneel
BUTTE DU CHAPEAU ROUGE,0,0,,butteduchapeaurouge
DELPHINE SEYRIG,0,0,,delphineseyrig
LA COURNEUVE 8 MAI 1945,1,0,7,lacourneuve8mai1945
STADE GEO ANDRE,0,0,,stadegeoandre
LES COURTILLES-ASNIERES-GENNEVILLIERS,1,0,,lescourtillesasnieresgennevilliers
BASILIQUE DE SAINT-DENIS,1,0,13,basiliquedesaintdenis
HOPITAL DELAFONTAINE,0,0,,hopitaldelafontaine
PORTE DE LA VILLETTE,1,0,7,portedelavillette
GARE DU NORD,2,2,5,garedunord
GARE DU NORD,2,2,4,garedunord
GARE DU NORD,2,2,B,garedunord
GARE DE L'EST,3,0,,garedelest
AUSTERLITZ,2,1,,austerlitz
GARE DE LYON,2,2,14,garedelyon
GARE DE LYON,2,2,1,garedelyon
GARE DE LYON,2,2,A,garedelyon
BALARD,1,0,8,balard
PORTE DE VANVES,1,0,13,portedevanves
PORTE D'ITALIE,1,0,7,porteditalie
VILLEJUIF-LOUIS ARAGON,1,0,7,villejuiflouisaragon
SURESNES-LONGCHAMP,0,0,,suresneslongchamp
LA DEFENSE-GRANDE ARCHE,1,1,,ladefensegrandearche
NANTERRE-UNIVERSITE,0,1,,nanterreuniversite
PEREIRE-LEVALLOIS,1,1,,pereirelevallois
CHARLES DE GAULLE ETOILE,3,1,2,charlesdegaulleetoile
CHARLES DE GAULLE ETOILE,3,1,1,charlesdegaulleetoile
CHARLES DE GAULLE ETOILE,3,1,6,charlesdegaulleetoile
CHARLES DE GAULLE ETOILE,3,1,A,charlesdegaulleetoile
SARTROUVILLE,0,1,A,sartrouville
ACHERES-VILLE,0,1,,acheresville
MONTIGNY-BEAUCHAMP,0,1,,montignybeauchamp
MITRY-CLAYE,0,1,B,mitryclaye
VILLEPARISIS-MITRY-LE-NEUF,0,1,,villeparisismitryleneuf
ROUGEMONT-CHANTELOUP,0,0,,rougemontchanteloup
PIERREFITTE-STAINS,0,1,,pierrefittestains
PORTE DE CLICHY,1,1,13,portedeclichy
BERAULT,1,0,,berault
