duree,date,line_num,line_type,what,type_inc
0 days 00:00:00.000000000,2018-11-19 11:11:00,A,rer,passenger,unscheduled
0 days 00:00:00.000000000,2018-11-19 11:12:00,A,rer,passenger,unscheduled
0 days 00:00:00.000000000,2018-11-19 11:12:00,3,metro,generic,unscheduled
0 days 00:02:00.000000000,2018-11-19 11:13:00,A,rer,passenger,unscheduled
0 days 00:00:00.000000000,2018-11-19 11:16:00,A,rer,passenger,unscheduled
0 days 00:00:00.000000000,2018-11-19 11:16:00,3,metro,generic,unscheduled
0 days 00:01:00.000000000,2018-11-19 11:17:00,A,rer,passenger,unscheduled
0 days 00:01:00.000000000,2018-11-19 11:19:00,A,rer,passenger,unscheduled
0 days 00:01:00.000000000,2018-11-19 11:21:00,A,rer,passenger,unscheduled
0 days 00:00:00.000000000,2018-11-19 11:23:00,A,rer,passenger,unscheduled
0 days 00:00:00.000000000,2018-11-19 11:24:00,A,rer,passenger,unscheduled
0 days 00:00:00.000000000,2018-11-19 11:25:00,A,rer,passenger,unscheduled
0 days 00:00:00.000000000,2018-11-19 11:26:00,A,rer,passenger,unscheduled
0 days 00:00:00.000000000,2018-11-19 11:27:00,A,rer,passenger,unscheduled
0 days 00:00:00.000000000,2018-11-19 11:28:00,A,rer,passenger,unscheduled
0 days 00:00:00.000000000,2018-11-19 11:29:00,A,rer,passenger,unscheduled
0 days 00:01:00.000000000,2018-11-19 11:30:00,A,rer,passenger,unscheduled
0 days 00:01:00.000000000,2018-11-19 11:32:00,A,rer,passenger,unscheduled
0 days 00:02:00.000000000,2018-11-19 11:34:00,A,rer,passenger,unscheduled
0 days 00:02:00.000000000,2018-11-19 11:37:00,A,rer,passenger,unscheduled
0 days 00:03:00.000000000,2018-11-19 11:40:00,A,rer,passenger,unscheduled
0 days 00:00:00.000000000,2018-11-19 11:44:00,A,rer,passenger,unscheduled
0 days 00:00:00.000000000,2018-11-19 11:45:00,A,rer,passenger,unscheduled
0 days 00:00:00.000000000,2018-11-19 11:46:00,A,rer,passenger,unscheduled
0 days 00:00:00.000000000,2018-11-19 11:47:00,A,rer,passenger,unscheduled
0 days 00:03:00.000000000,2018-11-19 11:48:00,A,rer,passenger,unscheduled
0 days 00:03:00.000000000,2018-11-19 11:52:00,A,rer,passenger,unscheduled
