Geo Point;Geo Shape;OBJECTID;id_ref_zdl;nom_long;label;idrefliga;idrefligc;res_com;mode_;fer;train;rer;metro;tramway;navette;val;terfer;tertrain;terrer;termetro;tertram;ternavette;terval;exploitant;principal;idf;x;y
48.9895025071,1.70301613419;"{""type"": ""Point"", ""coordinates"": [1.703016134189665, 48.98950250713139]}";377;43157;MANTES-LA-JOLIE;MANTES LA JOLIE;A01852 / A01847;;LIGNE J / LIGNE N;Train;1;1;0;0;0;0;0;TRAIN_J / TRAIN_N;TRAIN_J / TRAIN_N;0;0;0;0;0;SNCF;1;1;605082.4575;6877398.8261
48.9836545075,1.71521098645;"{""type"": ""Point"", ""coordinates"": [1.715210986447545, 48.983654507541]}";378;46965;MANTES-STATION;MANTES STATION;A01852;C01739;LIGNE J;Train;1;1;0;0;0;0;0;0;0;0;0;0;0;0;SNCF;0;1;605964.2565;6876733.9759
48.9841727553,1.74778618291;"{""type"": ""Point"", ""coordinates"": [1.74778618290616, 48.984172755305906]}";379;43151;LIMAY;LIMAY;A01852;C01739;LIGNE J;Train;1;1;0;0;0;0;0;0;0;0;0;0;0;0;SNCF;0;1;608349.1982;6876753.3002
48.981071911,2.00593089169;"{""type"": ""Point"", ""coordinates"": [2.005930891685298, 48.981071910976155]}";386;46926;TRIEL-SUR-SEINE;TRIEL-SUR-SEINE;A01852;C01739;LIGNE J;Train;1;1;0;0;0;0;0;0;0;0;0;0;0;0;SNCF;0;1;627237.6029;6876139.7455
48.9960988426,2.25965561906;"{""type"": ""Point"", ""coordinates"": [2.259655619057618, 48.996098842574916]}";399;46482;GROS-NOYER-SAINT-PRIX;GROS NOYER SAINT-PRIX;A01849;C01737;LIGNE H;Train;1;1;0;0;0;0;0;0;0;0;0;0;0;0;SNCF;0;1;645824.4;6877606.8292
49.0155849728,2.24247911127;"{""type"": ""Point"", ""coordinates"": [2.242479111269844, 49.015584972779266]}";400;48964;SAINT-LEU-LA-FORET;SAINT-LEU-LA-FORÊT;A01849;C01737;LIGNE H;Train;1;1;0;0;0;0;0;0;0;0;0;0;0;0;SNCF;0;1;644588.3155;6879785.7103
49.0217739562,2.22937648839;"{""type"": ""Point"", ""coordinates"": [2.229376488386947, 49.021773956244445]}";401;47963;VAUCELLES;VAUCELLES;A01849;C01737;LIGNE H;Train;1;1;0;0;0;0;0;0;0;0;0;0;0;0;SNCF;0;1;643636.6227;6880483.2392
49.0580478163,2.19124476186;"{""type"": ""Point"", ""coordinates"": [2.191244761857997, 49.05804781628028]}";405;47582;MERY-VAL D'OISE;MÉRY VAL D'OISE;A01849;C01737;LIGNE H;Train;1;1;0;0;0;0;0;0;0;0;0;0;0;0;SNCF;0;1;640889.083;6884545.0793
48.979447983,2.29247713155;"{""type"": ""Point"", ""coordinates"": [2.292477131551554, 48.97944798296759]}";406;46477;CHAMP DE COURSES D'ENGHIEN;CHAMP DE COURSES D'ENGHIEN;A01849;C01737;LIGNE H;Train;1;1;0;0;0;0;0;0;0;0;0;0;0;0;SNCF;0;1;648209.4967;6875733.1677
48.7591889859,2.19213580582;"{""type"": ""Point"", ""coordinates"": [2.192135805819485, 48.75918898587202]}";419;43215;VAUBOYEN;VAUBOYEN;A01840;C01727;RER C;RER;1;0;1;0;0;0;0;0;0;0;0;0;0;0;SNCF;0;1;640614.2032;6851312.9297
48.8309595287,1.96002656297;"{""type"": ""Point"", ""coordinates"": [1.960026562972406, 48.83095952867046]}";426;43181;PLAISIR-LES-CLAYES;PLAISIR-LES-CLAYES;A01847;C01736;LIGNE N;Train;1;1;0;0;0;0;0;0;0;0;0;0;0;0;SNCF;0;1;623657.914;6859491.9671
48.8319161843,1.94440175262;"{""type"": ""Point"", ""coordinates"": [1.944401752618381, 48.83191618427044]}";427;47885;PLAISIR-GRIGNON;PLAISIR-GRIGNON;A01847;C01736;LIGNE N;Train;1;1;0;0;0;0;0;0;0;0;0;0;0;0;SNCF;1;1;622512.422;6859613.5503
48.8980764111,2.0948366283;"{""type"": ""Point"", ""coordinates"": [2.094836628297753, 48.89807641113001]}";434;43198;SAINT-GERMAIN-EN-LAYE;SAINT-GERMAIN-EN-LAYE;A01856;C01742;RER A;RER;1;0;1;0;0;0;0;RER_A;0;RER_A;0;0;0;0;RATP;1;1;633639.0981;6866832.704
48.5644858719,2.5426518227;"{""type"": ""Point"", ""coordinates"": [2.542651822700779, 48.564485871916936]}";443;45814;SAINT-FARGEAU;SAINT-FARGEAU;A01842;C01728;RER D;RER;1;0;1;0;0;0;0;0;0;0;0;0;0;0;SNCF;0;1;666254.7325;6829460.506
48.5351397661,2.54434895173;"{""type"": ""Point"", ""coordinates"": [2.544348951730931, 48.53513976609529]}";444;45812;PONTHIERRY-PRINGY;PONTHIERRY-PRINGY;A01842;C01728;RER D;RER;1;0;1;0;0;0;0;0;0;0;0;0;0;0;SNCF;0;1;666361.1283;6826197.5485
48.5297469168,2.57207366546;"{""type"": ""Point"", ""coordinates"": [2.572073665459209, 48.5297469167871]}";445;45763;BOISSISE-LE-ROI;BOISSISE-LE-ROI;A01842;C01728;RER D;RER;1;0;1;0;0;0;0;0;0;0;0;0;0;0;SNCF;0;1;668404.6621;6825586.6127
48.5955638398,2.58394770969;"{""type"": ""Point"", ""coordinates"": [2.583947709690863, 48.59556383978605]}";447;47665;SAVIGNY-LE-TEMPLE-NANDY;SAVIGNY-LE-TEMPLE-NANDY;A01842;C01728;RER D;RER;1;0;1;0;0;0;0;0;0;0;0;0;0;0;SNCF;0;1;669319.9085;6832898.503
48.5102651753,2.67897398269;"{""type"": ""Point"", ""coordinates"": [2.6789739826914, 48.51026517526802]}";450;45804;LIVRY-SUR-SEINE;LIVRY-SUR-SEINE;A01845;C01731;LIGNE R;Train;1;1;0;0;0;0;0;0;0;0;0;0;0;0;SNCF;0;1;676288.6411;6823383.5443
48.4163770339,2.72666153308;"{""type"": ""Point"", ""coordinates"": [2.726661533076994, 48.416377033906265]}";456;47911;FONTAINEBLEAU-AVON;FONTAINEBLEAU-AVON;A01845;C01731;LIGNE R;Train;1;1;0;0;0;0;0;0;0;0;0;0;0;0;SNCF;1;1;679774.7573;6812933.8975
48.3795261033,2.9425234127;"{""type"": ""Point"", ""coordinates"": [2.942523412703352, 48.379526103285166]}";459;47910;MONTEREAU;MONTEREAU;A01845;C01731;LIGNE R;Train;1;1;0;0;0;0;0;0;0;0;0;0;0;0;SNCF;1;1;695744.1222;6808804.3563
48.4068056294,2.79923355753;"{""type"": ""Point"", ""coordinates"": [2.799233557534888, 48.406805629391584]}";462;43106;CHAMPAGNE-SUR-SEINE;CHAMPAGNE-SUR-SEINE;A01845;C01731;LIGNE R;Train;1;1;0;0;0;0;0;0;0;0;0;0;0;0;SNCF;0;1;685141.8895;6811853.8808
48.3326836438,2.69248019059;"{""type"": ""Point"", ""coordinates"": [2.692480190589321, 48.33268364381088]}";464;47124;BOURRON-MARLOTTE-GREZ;BOURRON-MARLOTTE-GREZ;A01845;C01731;LIGNE R;Train;1;1;0;0;0;0;0;0;0;0;0;0;0;0;SNCF;0;1;677209.3467;6803640.6794
48.9633441128,1.80909450877;"{""type"": ""Point"", ""coordinates"": [1.809094508773783, 48.96334411275807]}";467;47882;EPONE-MEZIERES;ÉPÔNE MÉZIÈRES;A01852 / A01847;;LIGNE J / LIGNE N;Train;1;1;0;0;0;0;0;0;0;0;0;0;0;0;SNCF;0;1;612801.1351;6874367.855
48.9721416769,1.84834880828;"{""type"": ""Point"", ""coordinates"": [1.848348808282501, 48.9721416769078]}";468;43070;AUBERGENVILLE-ELISABETHVILLE;AUBERGENVILLE-ÉLISABETHVILLE;A01852;C01739;LIGNE J;Train;1;1;0;0;0;0;0;0;0;0;0;0;0;0;SNCF;0;1;615689.4213;6875303.4616
48.9925919556,1.91353050671;"{""type"": ""Point"", ""coordinates"": [1.913530506709513, 48.99259195563821]}";469;47881;LES MUREAUX;LES MUREAUX;A01852;C01739;LIGNE J;Train;1;1;0;0;0;0;0;0;0;0;0;0;0;0;SNCF;0;1;620492.252;6877509.8516
48.9814459694,1.98314335209;"{""type"": ""Point"", ""coordinates"": [1.983143352086497, 48.98144596941028]}";471;47964;VERNOUILLET-VERNEUIL;VERNOUILLET-VERNEUIL;A01852;C01739;LIGNE J;Train;1;1;0;0;0;0;0;0;0;0;0;0;0;0;SNCF;0;1;625570.2612;6876202.5792
48.8427199561,2.13812505739;"{""type"": ""Point"", ""coordinates"": [2.138125057385087, 48.84271995614362]}";478;47880;LA CELLE-SAINT-CLOUD;LA CELLE-SAINT-CLOUD;A02176;C01740;LIGNE L;Train;1;1;0;0;0;0;0;0;0;0;0;0;0;0;SNCF;0;1;636745.4198;6860642.1218
48.809482263,2.13508745661;"{""type"": ""Point"", ""coordinates"": [2.135087456613032, 48.8094822630178]}";479;44602;VERSAILLES RIVE DROITE;VERSAILLES RIVE DROITE;A02176;C01740;LIGNE L;Train;1;1;0;0;0;0;0;TRAIN_L;TRAIN_L;0;0;0;0;0;SNCF;1;1;636482.013;6856949.0163
48.676092434,2.38678379703;"{""type"": ""Point"", ""coordinates"": [2.38678379703343, 48.676092433958694]}";483;43225;VIRY-CHATILLON;VIRY-CHÂTILLON;A01842;C01728;RER D;RER;1;0;1;0;0;0;0;0;0;0;0;0;0;0;SNCF;0;1;654850.6244;6841945.6583
48.6344790206,2.45228989528;"{""type"": ""Point"", ""coordinates"": [2.452289895281274, 48.634479020625484]}";486;45745;EVRY;ÉVRY;A01842;C01728;RER D;RER;1;0;1;0;0;0;0;0;0;0;0;0;0;0;SNCF;0;1;659641.4813;6837283.9198
48.740181522,2.23096112505;"{""type"": ""Point"", ""coordinates"": [2.230961125049761, 48.74018152195065]}";498;43083;IGNY;IGNY;A01840;C01727;RER C;RER;1;0;1;0;0;0;0;0;0;0;0;0;0;0;SNCF;0;1;643447.5634;6849171.1964
48.7066109469,2.4842451493;"{""type"": ""Point"", ""coordinates"": [2.484245149301458, 48.70661094690759]}";506;43226;YERRES;YERRES;A01842;C01728;RER D;RER;1;0;1;0;0;0;0;0;0;0;0;0;0;0;SNCF;0;1;662048.4784;6845287.3038
48.6952641221,2.15164203998;"{""type"": ""Point"", ""coordinates"": [2.151642039982193, 48.69526412211766]}";510;47046;LA HACQUINIERE;LA HACQUINIÈRE;A01857;C01743;RER B;RER;1;0;1;0;0;0;0;0;0;0;0;0;0;0;RATP;0;1;637561.2751;6844237.2403
48.5655938619,2.29092446986;"{""type"": ""Point"", ""coordinates"": [2.290924469857173, 48.56559386193037]}";513;43159;MAROLLES-EN-HUREPOIX;MAROLLES-EN-HUREPOIX;A01840;C01727;RER C;RER;1;0;1;0;0;0;0;0;0;0;0;0;0;0;SNCF;0;1;647682.6388;6829720.8563
48.5204035911,2.25473970107;"{""type"": ""Point"", ""coordinates"": [2.254739701073404, 48.52040359106149]}";515;43149;LARDY;LARDY;A01840;C01727;RER C;RER;1;0;1;0;0;0;0;0;0;0;0;0;0;0;SNCF;0;1;644965.5009;6824722.0741
48.8210388178,2.4638567967;"{""type"": ""Point"", ""coordinates"": [2.463856796696419, 48.82103881776724]}";520;43135;JOINVILLE-LE-PONT;JOINVILLE-LE-PONT;A01856;C01742;RER A;RER;1;0;1;0;0;0;0;0;0;0;0;0;0;0;RATP;0;1;660634.6209;6858019.7686
48.8062000248,2.4727204038;"{""type"": ""Point"", ""coordinates"": [2.472720403802171, 48.806200024763704]}";521;44801;SAINT-MAUR-CRETEIL;SAINT-MAUR CRÉTEIL;A01856;C01742;RER A;RER;1;0;1;0;0;0;0;0;0;0;0;0;0;0;RATP;0;1;661274.3885;6856365.4867
48.8053776631,2.48634975285;"{""type"": ""Point"", ""coordinates"": [2.486349752854739, 48.805377663078346]}";522;43234;LE PARC-DE-SAINT-MAUR;LE PARC DE SAINT-MAUR;A01856;C01742;RER A;RER;1;0;1;0;0;0;0;0;0;0;0;0;0;0;RATP;0;1;662274.7756;6856267.4524
48.7418787066,2.40290860736;"{""type"": ""Point"", ""coordinates"": [2.402908607357656, 48.74187870657828]}";527;46299;ORLY VILLE;ORLY VILLE;A01840;C01727;RER C;RER;1;0;1;0;0;0;0;0;0;0;0;0;0;0;SNCF;0;1;656093.1327;6849250.5093
48.8248485695,2.51185555481;"{""type"": ""Point"", ""coordinates"": [2.511855554813059, 48.82484856950444]}";529;58267;LES BOULLEREAUX-CHAMPIGNY;LES BOULLEREAUX CHAMPIGNY;A01843;C01729;RER E;RER;1;0;1;0;0;0;0;0;0;0;0;0;0;0;SNCF;0;1;664161.4176;6858420.5153
48.8020493803,2.42648240848;"{""type"": ""Point"", ""coordinates"": [2.426482408484047, 48.802049380323915]}";543;43154;MAISONS-ALFORT-ALFORTVILLE;MAISONS-ALFORT ALFORTVILLE;A01842;C01728;RER D;RER;1;0;1;0;0;0;0;0;0;0;0;0;0;0;SNCF;0;1;657875.1827;6855927.6603
48.8461029486,2.21762108089;"{""type"": ""Point"", ""coordinates"": [2.217621080890434, 48.84610294864101]}";545;43196;SAINT-CLOUD;SAINT-CLOUD;A02176 / A01855;;LIGNE L / LIGNE U;Train;1;1;0;0;0;0;0;0;0;0;0;0;0;0;SNCF;1;1;642583.305;6860957.5259
48.8272387727,2.20072125663;"{""type"": ""Point"", ""coordinates"": [2.200721256627126, 48.82723877270249]}";549;47767;SEVRES-VILLE-D'AVRAY;SÈVRES VILLE-D'AVRAY;A02176;C01740;LIGNE L;Train;1;1;0;0;0;0;0;0;0;0;0;0;0;0;SNCF;0;1;641321.8823;6858872.4898
48.8951258913,2.19536398691;"{""type"": ""Point"", ""coordinates"": [2.195363986912901, 48.89512589133457]}";553;43171;NANTERRE-VILLE;NANTERRE VILLE;A01856;C01742;RER A;RER;1;0;1;0;0;0;0;0;0;0;0;0;0;0;RATP;0;1;641005.5193;6866424.833
48.8981188748,2.24794284424;"{""type"": ""Point"", ""coordinates"": [2.247942844244835, 48.89811887479631]}";556;43118;COURBEVOIE;COURBEVOIE;A02176;C01740;LIGNE L;Train;1;1;0;0;0;0;0;0;0;0;0;0;0;0;SNCF;0;1;644863.5567;6866719.6355
48.9243538787,2.38638828562;"{""type"": ""Point"", ""coordinates"": [2.38638828561673, 48.92435387873373]}";564;43140;LA COURNEUVE-AUBERVILLIERS;LA COURNEUVE AUBERVILLIERS;A01857;C01743;RER B;RER;1;0;1;0;0;0;0;0;0;0;0;0;0;0;SNCF;0;1;655036.0117;6869549.1207
48.3713832941,2.38720979718;"{""type"": ""Point"", ""coordinates"": [2.387209797177142, 48.37138329410221]}";589;43102;BUNO-GIRONVILLE;BUNO-GIRONVILLE;A01842;C01728;RER D;RER;1;0;1;0;0;0;0;0;0;0;0;0;0;0;SNCF;0;1;654619.1223;6808073.8173
49.1267809411,2.50614369063;"{""type"": ""Point"", ""coordinates"": [2.506143690630787, 49.126780941089216]}";597;411418;LA BORNE BLANCHE;LA BORNE BLANCHE;A01842;C01728;RER D;RER;1;0;1;0;0;0;0;0;0;0;0;0;0;0;SNCF;0;0;663952.0699;6891999.5616
49.1382863753,2.49017898542;"{""type"": ""Point"", ""coordinates"": [2.490178985421195, 49.13828637527201]}";598;411421;ORRY-LA-VILLE-COYE;ORRY-LA-VILLE COYE-LA-FORÊT;A01842;C01728;RER D;RER;1;0;1;0;0;0;0;0;0;0;0;0;0;0;SNCF;1;0;662795.0403;6893286.6213
48.827270836,2.36803264776;"{""type"": ""Point"", ""coordinates"": [2.368032647756258, 48.82727083603917]}";604;44217;OLYMPIADES;Olympiades;A01547;C01384;M14;Metro;0;0;0;1;0;0;0;0;0;0;M14;0;0;0;RATP;1;1;653604.5847;6858764.7361
